occ_code,occ_title,major_code,automation_prob,score_source,education_req,emp_cagr,emp_trend_risk,ai_exposure_score,ai_exposure_raw,wage_cagr,real_wage_growth,wage_stagnation_risk,risk_index
13-1121,"Meeting, Convention, and Event Planners",13,0.037,actual,Bachelor's degree,0.037884930176334874,0.12395543175487467,0.6749999999999999,3.6999999999999997,0.03097447781372975,-0.004025522186270253,0.6526610644257703,0.30624024601484046
13-1131,Fundraisers,13,0.57,imputed,,0.05625573975208775,0.0473537604456824,0.71,3.84,0.032749886536351136,-0.0022501134636488673,0.5910364145658263,0.5036262142740104
13-1141,"Compensation, Benefits, and Job Analysis Specialists",13,0.47,actual,Bachelor's degree,0.043258174226033175,0.09749303621169914,0.7341666666666665,3.936666666666666,0.03141984079322779,-0.00358015920677221,0.6330532212885154,0.4859982571022838
13-1151,Training and Development Specialists,13,0.014,actual,Bachelor's degree,0.0668382745763878,0.026462395543175532,0.6725,3.69,0.021450096580113653,-0.01354990341988635,0.8935574229691877,0.31305109255401325
13-1161,Market Research Analysts and Marketing Specialists,13,0.61,actual,Bachelor's degree,0.05026180133834779,0.06685236768802227,0.8574999999999999,4.43,0.03369975767820321,-0.0013002423217967907,0.5476190476190477,0.5538883306804616
13-1161,Market Research Analysts and Marketing Specialists,13,0.61,actual,Bachelor's degree,0.05026180133834779,0.06685236768802227,0.7966666666666666,4.1866666666666665,0.03369975767820321,-0.0013002423217967907,0.5476190476190477,0.5386799973471282
13-1199,"Business Operations Specialists, All Other",13,0.23,actual,Bachelor's degree,0.003533151647104882,0.4442896935933147,0.7616666666666667,4.046666666666667,0.02893790585048306,-0.0060620941495169445,0.7254901960784313,0.48009813479709434
13-1199,"Business Operations Specialists, All Other",13,0.23,actual,Bachelor's degree,0.003533151647104882,0.4442896935933147,0.7641666666666667,4.056666666666667,0.02893790585048306,-0.0060620941495169445,0.7254901960784313,0.48072313479709433
13-1199,"Business Operations Specialists, All Other",13,0.23,actual,Bachelor's degree,0.003533151647104882,0.4442896935933147,0.6774999999999999,3.7099999999999995,0.02893790585048306,-0.0060620941495169445,0.7254901960784313,0.4590564681304276
13-1199,"Business Operations Specialists, All Other",13,0.23,actual,Bachelor's degree,0.003533151647104882,0.4442896935933147,0.7541666666666667,4.016666666666667,0.02893790585048306,-0.0060620941495169445,0.7254901960784313,0.47822313479709433
